,Exp #,Batch,Mesh #,Velocity,Density,Exp Complete?
279,279,2,7,0.35,2,True
280,280,2,7,0.05,3,True
281,281,2,7,0.15,3,True
282,282,2,7,0.25,3,True
283,283,2,7,0.35,3,True
284,284,2,7,0.05,4,True
285,285,2,7,0.15,4,True
286,286,2,7,0.25,4,True
287,287,2,7,0.35,4,True
288,288,2,8,0.05,1,True
289,289,2,8,0.15,1,True
290,290,2,8,0.25,1,True
291,291,2,8,0.35,1,True
292,292,2,8,0.05,2,True
293,293,2,8,0.15,2,True
294,294,2,8,0.25,2,True
295,295,2,8,0.35,2,True
296,296,2,8,0.05,3,True
297,297,2,8,0.15,3,True
298,298,2,8,0.25,3,True
299,299,2,8,0.35,3,True
300,300,2,8,0.05,4,True
301,301,2,8,0.15,4,True
302,302,2,8,0.25,4,True
303,303,2,8,0.35,4,True
304,304,2,9,0.05,1,True
305,305,2,9,0.15,1,True
306,306,2,9,0.25,1,True
307,307,2,9,0.35,1,True
308,308,2,9,0.05,2,True
309,309,2,9,0.15,2,True
310,310,2,9,0.25,2,True
311,311,2,9,0.35,2,True
312,312,2,9,0.05,3,True
313,313,2,9,0.15,3,True
314,314,2,9,0.25,3,True
315,315,2,9,0.35,3,True
316,316,2,9,0.05,4,True
317,317,2,9,0.15,4,True
318,318,2,9,0.25,4,True
319,319,2,9,0.35,4,True
320,320,3,0,0.05,1,True
321,321,3,0,0.15,1,True
322,322,3,0,0.25,1,True
323,323,3,0,0.35,1,True
324,324,3,0,0.05,2,True
325,325,3,0,0.15,2,True
326,326,3,0,0.25,2,True
327,327,3,0,0.35,2,True
328,328,3,0,0.05,3,True
329,329,3,0,0.15,3,True
330,330,3,0,0.25,3,True
331,331,3,0,0.35,3,True
332,332,3,0,0.05,4,True
333,333,3,0,0.15,4,True
334,334,3,0,0.25,4,True
335,335,3,0,0.35,4,True
336,336,3,1,0.05,1,True
337,337,3,1,0.15,1,True
338,338,3,1,0.25,1,True
339,339,3,1,0.35,1,True
340,340,3,1,0.05,2,True
341,341,3,1,0.15,2,True
342,342,3,1,0.25,2,True
343,343,3,1,0.35,2,True
344,344,3,1,0.05,3,True
345,345,3,1,0.15,3,True
346,346,3,1,0.25,3,True
347,347,3,1,0.35,3,True
348,348,3,1,0.05,4,True
349,349,3,1,0.15,4,True
350,350,3,1,0.25,4,True
351,351,3,1,0.35,4,True
352,352,3,2,0.05,1,True
353,353,3,2,0.15,1,True
354,354,3,2,0.25,1,True
355,355,3,2,0.35,1,True
356,356,3,2,0.05,2,True
357,357,3,2,0.15,2,True
358,358,3,2,0.25,2,True
359,359,3,2,0.35,2,True
360,360,3,2,0.05,3,True
361,361,3,2,0.15,3,True
362,362,3,2,0.25,3,True
363,363,3,2,0.35,3,True
364,364,3,2,0.05,4,True
365,365,3,2,0.15,4,True
366,366,3,2,0.25,4,True
367,367,3,2,0.35,4,True
368,368,3,3,0.05,1,True
369,369,3,3,0.15,1,True
370,370,3,3,0.25,1,True
371,371,3,3,0.35,1,True
372,372,3,3,0.05,2,True
373,373,3,3,0.15,2,True
374,374,3,3,0.25,2,True
375,375,3,3,0.35,2,True
376,376,3,3,0.05,3,True
377,377,3,3,0.15,3,True
378,378,3,3,0.25,3,True
379,379,3,3,0.35,3,True
380,380,3,3,0.05,4,True
381,381,3,3,0.15,4,True
382,382,3,3,0.25,4,True
383,383,3,3,0.35,4,True
384,384,3,4,0.05,1,True
385,385,3,4,0.15,1,True
386,386,3,4,0.25,1,True
387,387,3,4,0.35,1,True
388,388,3,4,0.05,2,True
389,389,3,4,0.15,2,True
390,390,3,4,0.25,2,True
391,391,3,4,0.35,2,True
392,392,3,4,0.05,3,True
393,393,3,4,0.15,3,True
394,394,3,4,0.25,3,True
395,395,3,4,0.35,3,True
396,396,3,4,0.05,4,True
397,397,3,4,0.15,4,True
398,398,3,4,0.25,4,True
399,399,3,4,0.35,4,True
400,400,3,5,0.05,1,True
401,401,3,5,0.15,1,True
402,402,3,5,0.25,1,True
403,403,3,5,0.35,1,True
404,404,3,5,0.05,2,True
405,405,3,5,0.15,2,True
406,406,3,5,0.25,2,True
407,407,3,5,0.35,2,True
408,408,3,5,0.05,3,True
409,409,3,5,0.15,3,True
410,410,3,5,0.25,3,True
411,411,3,5,0.35,3,True
412,412,3,5,0.05,4,True
413,413,3,5,0.15,4,True
414,414,3,5,0.25,4,True
415,415,3,5,0.35,4,True
416,416,3,6,0.05,1,True
417,417,3,6,0.15,1,True
418,418,3,6,0.25,1,True
419,419,3,6,0.35,1,True
420,420,3,6,0.05,2,True
421,421,3,6,0.15,2,True
422,422,3,6,0.25,2,True
423,423,3,6,0.35,2,True
424,424,3,6,0.05,3,True
425,425,3,6,0.15,3,True
426,426,3,6,0.25,3,True
427,427,3,6,0.35,3,True
428,428,3,6,0.05,4,True
429,429,3,6,0.15,4,True
430,430,3,6,0.25,4,True
431,431,3,6,0.35,4,True
432,432,3,7,0.05,1,True
433,433,3,7,0.15,1,True
434,434,3,7,0.25,1,True
435,435,3,7,0.35,1,True
436,436,3,7,0.05,2,True
437,437,3,7,0.15,2,True
438,438,3,7,0.25,2,True
439,439,3,7,0.35,2,True
440,440,3,7,0.05,3,True
441,441,3,7,0.15,3,True
442,442,3,7,0.25,3,True
443,443,3,7,0.35,3,True
444,444,3,7,0.05,4,True
445,445,3,7,0.15,4,True
446,446,3,7,0.25,4,True
447,447,3,7,0.35,4,True
448,448,3,8,0.05,1,True
449,449,3,8,0.15,1,True
450,450,3,8,0.25,1,True
451,451,3,8,0.35,1,True
452,452,3,8,0.05,2,True
453,453,3,8,0.15,2,True
454,454,3,8,0.25,2,True
455,455,3,8,0.35,2,True
456,456,3,8,0.05,3,True
457,457,3,8,0.15,3,True
458,458,3,8,0.25,3,True
459,459,3,8,0.35,3,True
460,460,3,8,0.05,4,True
461,461,3,8,0.15,4,True
462,462,3,8,0.25,4,True
463,463,3,8,0.35,4,True
464,464,3,9,0.05,1,True
465,465,3,9,0.15,1,True
466,466,3,9,0.25,1,True
467,467,3,9,0.35,1,True
468,468,3,9,0.05,2,True
469,469,3,9,0.15,2,True
470,470,3,9,0.25,2,True
471,471,3,9,0.35,2,True
472,472,3,9,0.05,3,True
473,473,3,9,0.15,3,True
474,474,3,9,0.25,3,True
475,475,3,9,0.35,3,True
476,476,3,9,0.05,4,True
477,477,3,9,0.15,4,True
478,478,3,9,0.25,4,True
479,479,3,9,0.35,4,True
480,480,4,0,0.05,1,True
481,481,4,0,0.15,1,True
482,482,4,0,0.25,1,True
483,483,4,0,0.35,1,True
484,484,4,0,0.05,2,True
485,485,4,0,0.15,2,True
486,486,4,0,0.25,2,True
487,487,4,0,0.35,2,True
488,488,4,0,0.05,3,True
489,489,4,0,0.15,3,True
490,490,4,0,0.25,3,True
491,491,4,0,0.35,3,True
492,492,4,0,0.05,4,True
493,493,4,0,0.15,4,True
494,494,4,0,0.25,4,True
495,495,4,0,0.35,4,True
496,496,4,1,0.05,1,True
497,497,4,1,0.15,1,True
498,498,4,1,0.25,1,True
499,499,4,1,0.35,1,True
500,500,4,1,0.05,2,True
501,501,4,1,0.15,2,True
502,502,4,1,0.25,2,True
503,503,4,1,0.35,2,True
504,504,4,1,0.05,3,True
505,505,4,1,0.15,3,True
506,506,4,1,0.25,3,True
507,507,4,1,0.35,3,True
508,508,4,1,0.05,4,True
509,509,4,1,0.15,4,True
510,510,4,1,0.25,4,True
511,511,4,1,0.35,4,True
512,512,4,2,0.05,1,True
513,513,4,2,0.15,1,True
514,514,4,2,0.25,1,True
515,515,4,2,0.35,1,True
516,516,4,2,0.05,2,True
517,517,4,2,0.15,2,True
518,518,4,2,0.25,2,True
519,519,4,2,0.35,2,True
520,520,4,2,0.05,3,True
521,521,4,2,0.15,3,True
522,522,4,2,0.25,3,True
523,523,4,2,0.35,3,True
524,524,4,2,0.05,4,True
525,525,4,2,0.15,4,True
526,526,4,2,0.25,4,True
527,527,4,2,0.35,4,True
528,528,4,3,0.05,1,True
529,529,4,3,0.15,1,True
530,530,4,3,0.25,1,True
531,531,4,3,0.35,1,True
532,532,4,3,0.05,2,True
533,533,4,3,0.15,2,True
534,534,4,3,0.25,2,True
535,535,4,3,0.35,2,True
536,536,4,3,0.05,3,True
537,537,4,3,0.15,3,True
538,538,4,3,0.25,3,True
539,539,4,3,0.35,3,True
540,540,4,3,0.05,4,True
541,541,4,3,0.15,4,True
542,542,4,3,0.25,4,True
543,543,4,3,0.35,4,True
544,544,4,4,0.05,1,True
545,545,4,4,0.15,1,True
546,546,4,4,0.25,1,True
547,547,4,4,0.35,1,True
548,548,4,4,0.05,2,True
549,549,4,4,0.15,2,True
550,550,4,4,0.25,2,True
551,551,4,4,0.35,2,True
